old,nazev,Složení,Postup,Sklo,Garnýž,TO GO,,poznamka,,,
,,"SD = Stará Dáma
EI = East Imperial
FT = Fever Tree
d = dash (bitters)",,,,,,,,,
,Pornstar martini C,"4cl Seven vodka
1cl vanilka sirup
3cl passionfruit 
1cl lime fresh
vegg white","Shake,top up prosecco",Coupette,kapky angostura bitters,,,,,,
,Almond Cigar,"4cl Flor de Cana 4yo, 2cl Amareto, 1cl simple, 0,5cl lime",Vše do Shakeru,Fancy Coupete,Skořice s twistem limetové kůry,,,*,,,
,Americano,"4cl Cinzano Rosso, 4cl Campari, soda","přímo do skla na led campari a vermut, promíchat a dolít trochou sody",Broušená whiskey glass,Plátek pomeranče,,,,,,Flor de Cana 4yo
,"""Aperol"" Spritz","4cl Aperitivo, 2cl Soda, 1dcl spumante","přímo do skla na led, aperol naposled",Vinná sklenice,Plátek pomeranče,,,,,,Seven
,Amave Fizz,"Amave 2cl, citron 2cl, Bezový sirup 1cl, máta, soda na dolití","Máta a vše až na sodu do šekru, double strain , dolít sodou",absinthe pokal ,"Kolečko citronu, snítka máty",,,,,,
,Autumn (Summer) Calling,"4cl Seven vodka, 3cl hruškový mošt, 2cl citron, 1cl simple sirup, ginger beer na dolití",vše krom ginger beeru do shakeru,long,"hruška, citron, tymián",,,,,,
X,Aviation,"5cl Tanqueray, 1,5cl Marashino, 2cl citron, 1cl Cartron Violet",Vše do Shakeru,Coupette,třešnička dovnitř,,,,,,
,Bikinita,"Infuse Tequila 4cl, Limeta 2cl, Cointreau 1,5cl, Bikini Ale na dolití","Vše až na Ale do šejkru, double strain, dolít Ejlem","Krýgl 0,25","Chipotle krusta, limetka na okraj",,,,,,
X,Biłaloveża Sour,"50ml Żubrovka, 20ml Citron, 20ml Bílek, 10ml Medová voda, 30ml Řepa","Vše až na řepu do shakeru. Hard shake, after shake. Double strain do skla bez ledu. Ppmalu přelít řepou",Pokal ,,,,nelze,,,
,Black Russian,"4cl Seven vodka, 2cl Gloria",přímo do skla na led,whiskey nebroušená,nope,,,,,,
,Bloody Mary,"4cl Seven vodka, 1,5cl Bloody prep, 2cl citron, 1,5dcl rajčatový mošt",rolling baby,Broušenej Long,"Řapíkatý celer, olivy, citron, mletý pepř","bloody řepa je stejně, tomatový mošt 1dcl, řepy 0,5dcl",,,,,
,Boulevardier,"3cl Wild Turkey, 3cl Campari, 3cl Cinzano 1957",vše přímo do skla a vymíchat,broušená whisky,pomík kůra,,,,,,
,Bourbon Buck,"4cl Wild Turkey, 1cl limeta fresh dolít Ginger Beer, střik angostury",přímo do skla na led,"long classic
",limeta ,,,,,,
X,B-52,"Gloria, Bailyes, Cointreau",navrstvit v tomhle pořadí,shot,"nope, nezapalovat!!!",,,nelze - nejde s glorii vrstvit,,,
,Calvador,"30ml Calvados Fine, 30ml Lillet Balnc, 30ml ArtSpritz (90ml premixu)",Oměřit si 90ml z barelu na baru přímo na led do skla. 60s vymíchat. ,Broušená Whisky,,,,,,,
,Caipirihna/Caipiroska/Caipirissima,"6cl Cacacha/seven vodka/Flor de Cana 4yo, 3/4 limety, 1,5cl tmavý simpl",Rozdrtit limetu se simplem v malém tinu shakeru. Přidat kostky ledu tak aby se vešlo do whiskey sklenice a přilít bázy. Rychlý šejk a celé přelít do skla.,whiskey nebroušená,kolečko limety,,,#REF!,,,
,Campari Orange,"4cl Campari, 15cl Pomerančový džus",Přimo do skla,"long classic
",plátek pomeranče,,,,,,
,Campari Soda,"4cl Campari, 15cl Soda",Přímo do skla,Whiskovka,plátek pomeranče,,,,,,
,CCTV,"5cl tres alegres blanco, 2cl lime, 1cl simple, okurka a koriandr","vše do shakeru, hard shake",pokal (absintová),"plátek okurky, snítka koriandru",,,,,,
,Clover Club,"5cl Tanqueray, 2cl Citron, 2cl PIU Malina, 2cl Bílek","vše do shakeru, hard shake, after shake, double strain",coupeta,ideálně maliny nebo nic,,,,,,
,Corpse Reviver 2,"2cl Tanqueray
2cl Lillet blanc
2cl Cointreau
2cl Citron
střik absintu",Vše do Shakeru až na absint,coupette vystříkaná absintem,citronová kůra zástřik a vhodit,,,,,,
,Cosmopolitan,"4cl Seven vodka
3cl brusinka
2cl limeta
1,5cl cointreau",vše do shakeru,Coupette,"pomerančová kůra zástřik a vhodit, když je čas tak zapálit",,,,,,
,Cuba Libre,"4cl Flor de Cana 4yo, střik limeta fresh
Fritz-Kola na dolití
díl limety",přímo do skla na led,Long,limeta,,,,,,
,Daiquiri,"Flor de Cana 4yo 
2cl limeta
1cl tmavý simple",vše do shakeru,coupette,limeta,možno místo simplu i sirup Vladimír/ideálne pyré,,,,,
,Dark'n'Stormy,"4cl Gosling, 1,5dcl Ginger Beer, limeta půlka","přímo do skla na led, nejdřiv ginger beer, vymáčknout limetu squeezerem, nahoru na float rum Dr",Long,limeta,,,,,,
x,Distrito Federal,"4cl Tres alegres Reposado, 2cl Cinzano 1957, 2 střiky Angostura",Míchací sklenice,coupette,pomerančová kůra,,,??,,,
,Dry Martini / Vodkatini,"5cl Tanqueray/Seven vodka, 1cl Noilly Prat                   S poměrem vermutu se dá hrát podle přání hosta",míchací sklenice/ anebo třídílný shaker. Záleží na přání hosta,martini glass,olivy anebo citronová kůra,dirty martini je s pár lžičkama láku od oliv,,,,,
,El Presidente,"5cl Plantation 3*, 2cl Noily prat, 1,5cl Cointreau, střik grenadiny","vše do shakeru, double strain",coupette,nope,,,,,,
,Espresso Martini,"4cl Seven vodka, 2cl Gloria, Espresso (cca 3cl) 1,5 cl grepový sirup","vše do shakeru, hard hard shake",coupette,tři zrnka kávy,,,,,,
,French 75,"3cl Tanqueray, 2cl Citron, 1cl bílý simple, Prosseco brut na dolití","Vše až na prosseco do shakeru, double strain do skla bez ledu dolít prossecem",flétna ,citronová kůra,,,,,,
,Gimlet / Vodka Gimlet,"6cl Tanqueray / Seven vodka, 2cl limeta, 1cl simple",vše do třídílného shakeru,coupette,limeta,,,,,,
